Epochs,Batch Size,Learning Rate,Training Time (s),Accuracy (%),
20,5,3,6.8,86,
20,5,5,6.89,87,
20,5,7.5,6.78,89,
20,10,3,6.41,79,
20,10,5,6.29,93,***
20,10,7.5,6.3,84,
20,30,3,5.89,71,
20,30,5,5.71,83,
20,30,7.5,5.7,86,
30,5,3,10.19,92,*
30,5,5,10.21,91,*
30,5,7.5,10.23,92,*
30,10,3,9.45,84,
30,10,5,9.42,81,
30,10,7.5,9.44,92,
30,30,3,8.76,82,
30,30,5,8.72,69,
30,30,7.5,8.79,89,
50,5,3,17.79,86,
50,5,5,17.32,75,
50,5,7.5,17.32,91,*
50,10,3,15.72,91,*
50,10,5,15.7,83,
50,10,7.5,15.8,78,
50,30,3,14.51,84,
50,30,5,14.51,84,
50,30,7.5,14.52,93,***
